id,first_name,second_name,team_name,team_short,position,now_cost,total_points,selected_by_percent,form,minutes
220,Robert,Lynch Sánchez,Chelsea,CHE,Goalkeeper,50,126,14.8,0.0,2880
221,Filip,Jörgensen,Chelsea,CHE,Goalkeeper,45,18,0.2,0.0,540
222,Mike,Penders,Chelsea,CHE,Goalkeeper,40,0,0.1,0.0,0
223,Gabriel,Słonina,Chelsea,CHE,Goalkeeper,40,0,0.1,0.0,0
224,Marc,Cucurella Saseta,Chelsea,CHE,Defender,60,133,19.4,0.0,2988
225,Reece,James,Chelsea,CHE,Defender,55,54,4.7,0.0,1057
226,Trevoh,Chalobah,Chelsea,CHE,Defender,50,93,0.7,0.0,1969
227,Levi,Samuels Colwill,Chelsea,CHE,Defender,50,109,5.4,0.0,3150
228,Malo,Gusto,Chelsea,CHE,Defender,50,60,2.2,0.0,1853
229,Benoît,Badiashile Mukinayi,Chelsea,CHE,Defender,45,7,0.1,0.0,332
230,Wesley,Fofana,Chelsea,CHE,Defender,45,26,0.3,0.0,1172
231,Mamadou,Sarr,Chelsea,CHE,Defender,45,0,0.1,0.0,0
232,Tosin,Adarabioyo,Chelsea,CHE,Defender,45,71,0.4,0.0,1403
233,Josh,Acheampong,Chelsea,CHE,Defender,40,4,0.3,0.0,168
234,Aarón,Anselmino,Chelsea,CHE,Defender,40,0,0.2,0.0,0
235,Cole,Palmer,Chelsea,CHE,Midfielder,105,214,52.3,0.0,3193
236,Pedro,Lomba Neto,Chelsea,CHE,Midfielder,70,104,4.5,0.0,2262
237,Enzo,Fernández,Chelsea,CHE,Midfielder,65,135,4.3,0.0,2943
238,Estêvão,Almeida de Oliveira Gonçalves,Chelsea,CHE,Midfielder,65,0,0.5,0.0,0
239,Jamie,Bynoe-Gittens,Chelsea,CHE,Midfielder,65,0,0.3,0.0,0
240,Christopher,Nkunku,Chelsea,CHE,Midfielder,60,60,0.3,0.0,904
241,Moisés,Caicedo Corozo,Chelsea,CHE,Midfielder,55,98,7.5,0.0,3351
242,Kiernan,Dewsbury-Hall,Chelsea,CHE,Midfielder,50,18,0.1,0.0,257
243,Tyrique,George,Chelsea,CHE,Midfielder,50,17,0.1,0.0,177
244,Roméo,Lavia,Chelsea,CHE,Midfielder,50,26,0.1,0.0,792
245,Mykhailo,Mudryk,Chelsea,CHE,Midfielder,50,7,0.0,0.0,145
246,Andrey,Nascimento dos Santos,Chelsea,CHE,Midfielder,45,0,0.4,0.0,0
247,Dário,Luís Essugo,Chelsea,CHE,Midfielder,45,0,0.1,0.0,0
248,Kendry,Páez Andrade,Chelsea,CHE,Midfielder,45,0,0.1,0.0,0
249,João Pedro,Junqueira de Jesus,Chelsea,CHE,Forward,75,126,53.7,0.0,1946
250,Liam,Delap,Chelsea,CHE,Forward,65,132,4.6,0.0,2587
251,Nicolas,Jackson,Chelsea,CHE,Forward,65,121,0.1,0.0,2220
252,Marc,Guiu Paz,Chelsea,CHE,Forward,45,3,4.2,0.0,71
253,Dean,Henderson,Crystal Palace,CRY,Goalkeeper,50,135,3.4,0.0,3420
254,Walter,Benítez,Crystal Palace,CRY,Goalkeeper,40,0,0.5,0.0,0
255,Remi,Matthews,Crystal Palace,CRY,Goalkeeper,40,0,0.1,0.0,0
256,Daniel,Muñoz Mejía,Crystal Palace,CRY,Defender,55,142,8.6,0.0,3229
257,Maxence,Lacroix,Crystal Palace,CRY,Defender,50,114,1.0,0.0,3116
258,Tyrick,Mitchell,Crystal Palace,CRY,Defender,50,123,0.9,0.0,3090
259,Borna,Sosa,Crystal Palace,CRY,Defender,50,0,0.1,0.0,0
260,Marc,Guéhi,Crystal Palace,CRY,Defender,45,116,13.3,0.0,3059
261,Chris,Richards,Crystal Palace,CRY,Defender,45,68,0.6,0.0,1921
262,Chadi,Riad Dnanou,Crystal Palace,CRY,Defender,40,1,0.0,0.0,90
263,Nathaniel,Clyne,Crystal Palace,CRY,Defender,40,18,0.7,0.0,477
264,Rob,Holding,Crystal Palace,CRY,Defender,40,0,0.3,0.0,0
265,Caleb,Kporha,Crystal Palace,CRY,Defender,40,2,0.2,0.0,11
266,Eberechi,Eze,Crystal Palace,CRY,Midfielder,75,148,9.0,0.0,2588
267,Ismaïla,Sarr,Crystal Palace,CRY,Midfielder,65,149,2.1,0.0,2708
268,Cheick,Doucouré,Crystal Palace,CRY,Midfielder,50,19,0.0,0.0,443
269,Romain,Esse,Crystal Palace,CRY,Midfielder,50,22,0.3,0.0,138
270,Will,Hughes,Crystal Palace,CRY,Midfielder,50,67,0.1,0.0,2100
271,Daichi,Kamada,Crystal Palace,CRY,Midfielder,50,45,0.1,0.0,1545
272,Jefferson,Lerma Solís,Crystal Palace,CRY,Midfielder,50,58,0.1,0.0,2270
273,Adam,Wharton,Crystal Palace,CRY,Midfielder,50,42,0.6,0.0,1314
274,Asher,Agbinone,Crystal Palace,CRY,Midfielder,45,2,0.1,0.0,4
275,Naouirou,Ahamada,Crystal Palace,CRY,Midfielder,45,0,0.1,0.0,0
276,Justin,Devenny,Crystal Palace,CRY,Midfielder,45,34,1.7,0.0,494
277,Malcolm,Ebiowei,Crystal Palace,CRY,Midfielder,45,0,0.1,0.0,0
278,Jesurun,Rak-Sakyi,Crystal Palace,CRY,Midfielder,45,0,0.1,0.0,0
