element_id,web_name,first_name,second_name,team,element_type,now_cost,selected_by_percent,form,total_points,points_per_game,expected_points_next_4gw,expected_points_per_gw,recent_form_last5,next_fixture_difficulty,next_home_ratio,upcoming_fixtures,injury_status,injury_severity,expected_return,cost_per_million,expected_points_per_million,value_score
453,Alejandro Garnacho Ferreyra,Alejandro,Garnacho Ferreyra,Man Utd,Midfielder,65,0.2,0.0,106,2.789473684210526,2.9396143,0.7349036,1.91259649122807,3.0,0.5,0,available,none,,6.5,0.45224835322453427,45.22483532245343
418,Jérémy Doku,Jérémy,Doku,Man City,Midfielder,65,1.2,0.0,88,2.3157894736842106,2.9396143,0.7349036,1.711438596491228,3.0,0.5,0,available,none,,6.5,0.45224835322453427,45.22483532245343
324,Alex Iwobi,Alex,Iwobi,Fulham,Midfielder,65,1.4,0.0,156,4.105263157894737,2.9310365,0.7327591,2.4713684210526314,3.0,0.5,4,available,none,,6.5,0.4509286880493164,45.09286880493164
267,Ismaïla Sarr,Ismaïla,Sarr,Crystal Palace,Midfielder,65,2.1,0.0,149,3.9210526315789473,2.9310365,0.7327591,2.393140350877193,3.25,0.5,4,available,none,,6.5,0.4509286880493164,45.09286880493164
452,Amad Diallo,Amad,Diallo,Man Utd,Midfielder,65,3.6,0.0,129,3.3947368421052633,2.9293985,0.73234963,2.169631578947368,3.0,0.5,0,available,none,,6.5,0.45067669795109677,45.06766979510968
489,Jacob Murphy,Jacob,Murphy,Newcastle,Midfielder,65,2.9,0.0,159,4.184210526315789,2.9287906,0.73219764,2.504894736842105,3.0,0.5,0,available,none,,6.5,0.45058316450852615,45.058316450852615
583,Dejan Kulusevski,Dejan,Kulusevski,Spurs,Midfielder,65,0.0,0.0,117,3.0789473684210527,2.9256177,0.7314044,2.0355263157894736,3.0,0.5,0,available,none,,6.5,0.4500950299776517,45.009502997765175
487,Harvey Barnes,Harvey,Barnes,Newcastle,Midfielder,65,0.5,0.0,130,3.4210526315789473,2.9256177,0.7314044,2.1808070175438594,3.0,0.5,0,available,none,,6.5,0.4500950299776517,45.009502997765175
488,Bruno Guimarães Rodriguez Moura,Bruno,Guimarães Rodriguez Moura,Newcastle,Midfielder,65,1.4,0.0,135,3.5526315789473686,2.9256177,0.7314044,2.236684210526316,3.0,0.5,0,available,none,,6.5,0.4500950299776517,45.009502997765175
386,Alexis Mac Allister,Alexis,Mac Allister,Liverpool,Midfielder,65,1.5,0.0,122,3.210526315789474,2.9256177,0.7314044,2.09140350877193,3.0,0.5,0,available,none,,6.5,0.4500950299776517,45.009502997765175
387,Dominik Szoboszlai,Dominik,Szoboszlai,Liverpool,Midfielder,65,1.7,0.0,143,3.763157894736842,2.9256177,0.7314044,2.326087719298245,3.0,0.5,0,available,none,,6.5,0.4500950299776517,45.009502997765175
237,Enzo Fernández,Enzo,Fernández,Chelsea,Midfielder,65,4.3,0.0,135,3.5526315789473686,2.9072697,0.7268174,2.236684210526316,2.75,0.5,4,available,none,,6.5,0.44727226404043346,44.72722640404335
238,Estêvão Almeida de Oliveira Gonçalves,Estêvão,Almeida de Oliveira Gonçalves,Chelsea,Midfielder,65,0.5,0.0,0,0.0,2.9068685,0.7267171,2.4266666666666667,2.75,0.5,4,available,none,,6.5,0.4472105319683368,44.72105319683368
239,Jamie Bynoe-Gittens,Jamie,Bynoe-Gittens,Chelsea,Midfielder,65,0.3,0.0,0,0.0,2.9068685,0.7267171,2.4266666666666667,2.75,0.5,4,available,none,,6.5,0.4472105319683368,44.72105319683368
421,Rodrigo 'Rodri' Hernandez Cascante,Rodrigo 'Rodri',Hernandez Cascante,Man City,Midfielder,65,1.6,0.0,3,0.07894736842105263,2.8133783,0.7033446,0.7615263157894737,3.0,0.5,0,available,none,,6.5,0.4328274360069862,43.28274360069862
385,Federico Chiesa,Federico,Chiesa,Liverpool,Midfielder,65,0.1,0.0,7,0.18421052631578946,2.8133783,0.7033446,0.8062280701754386,3.0,0.5,0,available,none,,6.5,0.4328274360069862,43.28274360069862
625,Niclas Füllkrug,Niclas,Füllkrug,West Ham,Forward,60,1.4,0.0,42,1.105263157894737,2.7005115,0.67512786,1.1388631578947368,3.0,0.5,0,available,none,,6.0,0.45008524258931476,45.00852425893147
137,Iwan Morgan,Iwan,Morgan,Brentford,Forward,45,0.6,0.0,0,0.0,2.694578,0.6736445,1.764,2.75,0.5,4,available,none,,4.5,0.5987950960795084,59.879509607950844
